id,nomoficial,nombre_norm,barrio,barrio_par,barrio_imp,comuna,tipo_c,long,geometry,wikidata_id,figura_nombre,partido_madre,tipo_figura,fuente_match
3,"PAZ, GRAL. AV.",PAZ,Nuñez,Nuñez,Nuñez,13.0,AVENIDA,145.4747858645993,"LINESTRING (-58.46561093444613 -34.53507012444892, -58.465767943878525 -34.53516012373912, -58.46586095932405 -34.53524695508765, -58.46597593031819 -34.53532963084649, -58.466116601524654 -34.5354160383981, -58.466338798589014 -34.535523359825596, -58.466506872184354 -34.535604202714126, -58.46661265298602 -34.535671384746706, -58.466760565799966 -34.535925542216425)",,,,,
4,DEL LIBERTADOR AV.,DEL LIBERTADOR,Nuñez,Nuñez,Nuñez,13.0,AVENIDA,10.15259850067383,"LINESTRING (-58.466760565799966 -34.535925542216425, -58.46680762229164 -34.53584272180944)",,,,,
6,LA CACHILA,LA CACHILA,Nuñez,Nuñez,Nuñez,13.0,CALLE,119.6960365647372,"LINESTRING (-58.46502726359528 -34.536034948083625, -58.46561093444613 -34.53507012444892)",,,,,
7,VEDIA,VEDIA,Nuñez,Nuñez,Nuñez,13.0,CALLE,43.73858249078506,"LINESTRING (-58.46680762229164 -34.53584272180944, -58.46720972641727 -34.53605419399296)",,,,,
8,"PAZ, GRAL. AV.",PAZ,Nuñez,Nuñez,Nuñez,13.0,AVENIDA,89.68114676073733,"LINESTRING (-58.46720972641727 -34.53605419399296, -58.467348432077564 -34.535918552130504, -58.46759990115368 -34.53592607894341, -58.46806514945492 -34.53610000987763)",,,,,
9,VEDIA,VEDIA,Nuñez,Nuñez,Nuñez,13.0,CALLE,78.26452285831536,"LINESTRING (-58.46720972641727 -34.53605419399296, -58.46780263160793 -34.536366223959114, -58.46793054025062 -34.53643086874658)",,,,,
10,11 DE SEPTIEMBRE DE 1888,11 DE SEPTIEMBRE DE 1888,Nuñez,Nuñez,Nuñez,13.0,CALLE,38.72820076764663,"LINESTRING (-58.46793054025062 -34.53643086874658, -58.46806514945492 -34.53610000987763)",,,,,
11,LA CACHILA,LA CACHILA,Nuñez,Nuñez,Nuñez,13.0,CALLE,76.07420716909479,"LINESTRING (-58.464590002143815 -34.536597290170874, -58.46467822537144 -34.53656733666139, -58.464791289851874 -34.536429714367245, -58.46502726359528 -34.536034948083625)",,,,,
12,"CALZADILLA, SANTIAGO",SANTIAGO CALZADILLA,Nuñez,Nuñez,Nuñez,13.0,CALLE,214.4892831145691,"LINESTRING (-58.46252481792732 -34.53573319995575, -58.46439545735613 -34.5365841878322, -58.46449951649071 -34.53661226736594, -58.464590002143815 -34.536597290170874)",,,,,
13,"PAZ, GRAL. AV.",PAZ,Nuñez,Nuñez,Nuñez,13.0,AVENIDA,99.93614453869867,"LINESTRING (-58.468344113648705 -34.536229297819794, -58.46901735789398 -34.53652906469473, -58.4692123270257 -34.536599972748526, -58.46931079088061 -34.536642574683334)",,,,,
14,PICO,PICO,Nuñez,Nuñez,Nuñez,13.0,CALLE,137.7522208571402,"LINESTRING (-58.46502726359528 -34.536034948083625, -58.465485615777105 -34.53627389063322, -58.46630369452358 -34.536687686836736)",,,,,
15,DEL LIBERTADOR AV.,DEL LIBERTADOR,Nuñez,Nuñez,Nuñez,13.0,AVENIDA,94.39198797752489,"LINESTRING (-58.46630369452358 -34.536687686836736, -58.466598632888 -34.53621041328422, -58.466760565799966 -34.535925542216425)",,,,,
18,"PAZ, GRAL. AV.",PAZ,Nuñez,Nuñez,Nuñez,13.0,AVENIDA,74.31409024865467,"LINESTRING (-58.46931079088061 -34.536642574683334, -58.46938857484927 -34.536676304101185, -58.470025401925724 -34.536957263902)",,,,,
19,VEDIA,VEDIA,Nuñez,Nuñez,Nuñez,13.0,CALLE,94.72221777485359,"LINESTRING (-58.46816811099651 -34.53655106125667, -58.46904845151857 -34.53699639931662)",,,,,
20,3 DE FEBRERO,3 DE FEBRERO,Nuñez,Nuñez,Nuñez,13.0,CALLE,46.05100307930488,"LINESTRING (-58.46904845151857 -34.53699639931662, -58.46931079088061 -34.536642574683334)",,,,,
21,PICO,PICO,Nuñez,Nuñez,Nuñez,13.0,CALLE,135.8436558588927,"LINESTRING (-58.46630369452358 -34.536687686836736, -58.46756618812389 -34.53732639821828)",,,,,
22,11 DE SEPTIEMBRE DE 1888,11 DE SEPTIEMBRE DE 1888,Nuñez,Nuñez,Nuñez,13.0,CALLE,104.8250553687274,"LINESTRING (-58.46756618812389 -34.53732639821828, -58.46793054025062 -34.53643086874658)",,,,,
23,PICO,PICO,Nuñez,Nuñez,Nuñez,13.0,CALLE,68.33736154141829,"LINESTRING (-58.46783804631094 -34.5374621173361, -58.468480198633515 -34.53777369837224)",,,,,
24,DEL LIBERTADOR AV.,DEL LIBERTADOR,Nuñez,Nuñez,Nuñez,13.0,AVENIDA,99.85142892200899,"LINESTRING (-58.465808605775 -34.537489127234146, -58.46630369452358 -34.536687686836736)",,,,,
25,GRECIA,GRECIA,Nuñez,Nuñez,Nuñez,13.0,CALLE,62.64139259586495,"LINESTRING (-58.46995370618401 -34.53750946522669, -58.47001309635787 -34.53738079667737, -58.47004976036951 -34.53720156466502, -58.47003400557058 -34.53706282954563, -58.470025401925724 -34.536957263902)",,,,,
27,3 DE FEBRERO,3 DE FEBRERO,Nuñez,Nuñez,Nuñez,13.0,CALLE,100.7815688382444,"LINESTRING (-58.468480198633515 -34.53777369837224, -58.46904845151857 -34.53699639931662)",,,,,
29,"PAZ, GRAL. AV.",PAZ,Nuñez,Nuñez,Nuñez,13.0,AVENIDA,125.455731940772,"LINESTRING (-58.470025401925724 -34.536957263902, -58.470208800066125 -34.537038171255794, -58.47113651921078 -34.537446999074724, -58.471230402129315 -34.53749064939773)",,,,,
30,VEDIA,VEDIA,Nuñez,Nuñez,Nuñez,13.0,CALLE,81.85188798034761,"LINESTRING (-58.47016263347508 -34.53756213108251, -58.470922536012196 -34.537948081892644)",,,,,
31,DEHEZA,DEHEZA,Nuñez,Nuñez,Nuñez,13.0,CALLE,123.9473617472039,"LINESTRING (-58.465808605775 -34.537489127234146, -58.4669602178343 -34.538072352636114)",,,,,
32,11 DE SEPTIEMBRE DE 1888,11 DE SEPTIEMBRE DE 1888,Nuñez,Nuñez,Nuñez,13.0,CALLE,99.71244818506884,"LINESTRING (-58.4669602178343 -34.538072352636114, -58.46756618812389 -34.53732639821828)",,,,,
33,PICO,PICO,Nuñez,Nuñez,Nuñez,13.0,CALLE,99.97384819799011,"LINESTRING (-58.468480198633515 -34.53777369837224, -58.46940094443272 -34.538254935850986)",,,,,
34,GRECIA,GRECIA,Nuñez,Nuñez,Nuñez,13.0,CALLE,97.0261676362525,"LINESTRING (-58.46940094443272 -34.538254935850986, -58.46995370618401 -34.53750946522669)",,,,,
35,DEHEZA,DEHEZA,Nuñez,Nuñez,Nuñez,13.0,CALLE,30.44960449206307,"LINESTRING (-58.4669602178343 -34.538072352636114, -58.46724274534102 -34.53821615062994)",,,,,
36,DEL LIBERTADOR AV.,DEL LIBERTADOR,Nuñez,Nuñez,Nuñez,13.0,AVENIDA,100.6341152645439,"LINESTRING (-58.46530959300562 -34.538296833350344, -58.465808605775 -34.537489127234146)",,,,,
37,"PAZ, GRAL. AV.",PAZ,Nuñez,Nuñez,Nuñez,13.0,AVENIDA,100.5618826695627,"LINESTRING (-58.47220041802847 -34.537935037363646, -58.47260296768956 -34.53811353308749, -58.4731673908295 -34.5383609599415)",,,,,
38,VEDIA,VEDIA,Nuñez,Nuñez,Nuñez,13.0,CALLE,99.87491229866767,"LINESTRING (-58.470922536012196 -34.537948081892644, -58.47184976447851 -34.538419018534206)",,,,,
39,ARCOS,ARCOS,Nuñez,Nuñez,Nuñez,13.0,CALLE,62.60100480036567,"LINESTRING (-58.47184976447851 -34.538419018534206, -58.47220041802847 -34.537935037363646)",,,,,
40,DEHEZA,DEHEZA,Nuñez,Nuñez,Nuñez,13.0,CALLE,44.53815699985006,"LINESTRING (-58.467485359624916 -34.53833933976845, -58.46789976543158 -34.53854810774596)",,,,,
41,3 DE FEBRERO,3 DE FEBRERO,Nuñez,Nuñez,Nuñez,13.0,CALLE,101.0920766815412,"LINESTRING (-58.46789976543158 -34.53854810774596, -58.468480198633515 -34.53777369837224)",,,,,
42,PICO,PICO,Nuñez,Nuñez,Nuñez,13.0,CALLE,101.194646619403,"LINESTRING (-58.46940094443272 -34.538254935850986, -58.470341273907536 -34.53873095382001)",,,,,
43,O'HIGGINS,O'HIGGINS,Nuñez,Nuñez,Nuñez,13.0,CALLE,101.9308275871712,"LINESTRING (-58.470341273907536 -34.53873095382001, -58.470922536012196 -34.537948081892644)",,,,,
