id,nomoficial,nombre_norm,barrio,comuna,tipo_c,long,geometry,metodo_match,match_score,wikidata_id,figura_nombre,partido_madre,tipo_figura
7,VEDIA,VEDIA,Nuñez,13.0,CALLE,43.73858249078506,"LINESTRING (-58.46680762229164 -34.53584272180944, -58.46720972641727 -34.53605419399296)",ambiguo,100.0,AMBIGUO,Francisco de Durañona y Vedia | Julio de Vedia | Nicolás de Vedia,,
9,VEDIA,VEDIA,Nuñez,13.0,CALLE,78.26452285831536,"LINESTRING (-58.46720972641727 -34.53605419399296, -58.46780263160793 -34.536366223959114, -58.46793054025062 -34.53643086874658)",ambiguo,100.0,AMBIGUO,Francisco de Durañona y Vedia | Julio de Vedia | Nicolás de Vedia,,
14,PICO,PICO,Nuñez,13.0,CALLE,137.7522208571402,"LINESTRING (-58.46502726359528 -34.536034948083625, -58.465485615777105 -34.53627389063322, -58.46630369452358 -34.536687686836736)",ambiguo,100.0,AMBIGUO,Blas Pico | Eduardo Pico | Francisco Pico | Francisco Pico,,
19,VEDIA,VEDIA,Nuñez,13.0,CALLE,94.72221777485359,"LINESTRING (-58.46816811099651 -34.53655106125667, -58.46904845151857 -34.53699639931662)",ambiguo,100.0,AMBIGUO,Francisco de Durañona y Vedia | Julio de Vedia | Nicolás de Vedia,,
21,PICO,PICO,Nuñez,13.0,CALLE,135.8436558588927,"LINESTRING (-58.46630369452358 -34.536687686836736, -58.46756618812389 -34.53732639821828)",ambiguo,100.0,AMBIGUO,Blas Pico | Eduardo Pico | Francisco Pico | Francisco Pico,,
23,PICO,PICO,Nuñez,13.0,CALLE,68.33736154141829,"LINESTRING (-58.46783804631094 -34.5374621173361, -58.468480198633515 -34.53777369837224)",ambiguo,100.0,AMBIGUO,Blas Pico | Eduardo Pico | Francisco Pico | Francisco Pico,,
30,VEDIA,VEDIA,Nuñez,13.0,CALLE,81.85188798034761,"LINESTRING (-58.47016263347508 -34.53756213108251, -58.470922536012196 -34.537948081892644)",ambiguo,100.0,AMBIGUO,Francisco de Durañona y Vedia | Julio de Vedia | Nicolás de Vedia,,
31,DEHEZA,DEHEZA,Nuñez,13.0,CALLE,123.9473617472039,"LINESTRING (-58.465808605775 -34.537489127234146, -58.4669602178343 -34.538072352636114)",ambiguo,100.0,AMBIGUO,José Deheza | General Deheza,,
33,PICO,PICO,Nuñez,13.0,CALLE,99.97384819799011,"LINESTRING (-58.468480198633515 -34.53777369837224, -58.46940094443272 -34.538254935850986)",ambiguo,100.0,AMBIGUO,Blas Pico | Eduardo Pico | Francisco Pico | Francisco Pico,,
35,DEHEZA,DEHEZA,Nuñez,13.0,CALLE,30.44960449206307,"LINESTRING (-58.4669602178343 -34.538072352636114, -58.46724274534102 -34.53821615062994)",ambiguo,100.0,AMBIGUO,José Deheza | General Deheza,,
38,VEDIA,VEDIA,Nuñez,13.0,CALLE,99.87491229866767,"LINESTRING (-58.470922536012196 -34.537948081892644, -58.47184976447851 -34.538419018534206)",ambiguo,100.0,AMBIGUO,Francisco de Durañona y Vedia | Julio de Vedia | Nicolás de Vedia,,
40,DEHEZA,DEHEZA,Nuñez,13.0,CALLE,44.53815699985006,"LINESTRING (-58.467485359624916 -34.53833933976845, -58.46789976543158 -34.53854810774596)",ambiguo,100.0,AMBIGUO,José Deheza | General Deheza,,
42,PICO,PICO,Nuñez,13.0,CALLE,101.194646619403,"LINESTRING (-58.46940094443272 -34.538254935850986, -58.470341273907536 -34.53873095382001)",ambiguo,100.0,AMBIGUO,Blas Pico | Eduardo Pico | Francisco Pico | Francisco Pico,,
46,ARIAS,ARIAS,Nuñez,13.0,CALLE,116.2423828160381,"LINESTRING (-58.46530959300562 -34.538296833350344, -58.46639108691649 -34.53884182475854)",ambiguo,100.0,AMBIGUO,Manuel Hipólito Herrera Arias | Tomás Arias | José Inocencio Arias | Manuel Arias,,
48,VEDIA,VEDIA,Nuñez,13.0,CALLE,99.9138062305176,"LINESTRING (-58.47184976447851 -34.538419018534206, -58.47277734382046 -34.53889015934395)",ambiguo,100.0,AMBIGUO,Francisco de Durañona y Vedia | Julio de Vedia | Nicolás de Vedia,,
50,DEHEZA,DEHEZA,Nuñez,13.0,CALLE,100.6694986573929,"LINESTRING (-58.46789976543158 -34.53854810774596, -58.46883515355372 -34.53902174304802)",ambiguo,100.0,AMBIGUO,José Deheza | General Deheza,,
53,ARIAS,ARIAS,Nuñez,13.0,CALLE,53.84839251148612,"LINESTRING (-58.46639108691649 -34.53884182475854, -58.46688858278246 -34.53909898419952)",ambiguo,100.0,AMBIGUO,Manuel Hipólito Herrera Arias | Tomás Arias | José Inocencio Arias | Manuel Arias,,
54,PICO,PICO,Nuñez,13.0,CALLE,99.97656524023458,"LINESTRING (-58.470341273907536 -34.53873095382001, -58.47127037996868 -34.53920112002357)",ambiguo,100.0,AMBIGUO,Blas Pico | Eduardo Pico | Francisco Pico | Francisco Pico,,
56,ARIAS,ARIAS,Nuñez,13.0,CALLE,20.79513009004445,"LINESTRING (-58.46713070924214 -34.53922792153252, -58.46732383209402 -34.53932589448244)",ambiguo,100.0,AMBIGUO,Manuel Hipólito Herrera Arias | Tomás Arias | José Inocencio Arias | Manuel Arias,,
59,VEDIA,VEDIA,Nuñez,13.0,CALLE,100.6995730305379,"LINESTRING (-58.47277734382046 -34.53889015934395, -58.473275223075404 -34.53914294306314, -58.47371131694336 -34.539366222229056)",ambiguo,100.0,AMBIGUO,Francisco de Durañona y Vedia | Julio de Vedia | Nicolás de Vedia,,
61,DEHEZA,DEHEZA,Nuñez,13.0,CALLE,100.9187449247412,"LINESTRING (-58.46883515355372 -34.53902174304802, -58.469772850145105 -34.53949656823915)",ambiguo,100.0,AMBIGUO,José Deheza | General Deheza,,
66,PICO,PICO,Nuñez,13.0,CALLE,99.38845752547826,"LINESTRING (-58.47127037996868 -34.53920112002357, -58.47219396448327 -34.539668603398844)",ambiguo,100.0,AMBIGUO,Blas Pico | Eduardo Pico | Francisco Pico | Francisco Pico,,
68,ARIAS,ARIAS,Nuñez,13.0,CALLE,100.8343039246734,"LINESTRING (-58.46732383209402 -34.53932589448244, -58.46787139901869 -34.539603206235824, -58.46826075756118 -34.539800308740176)",ambiguo,100.0,AMBIGUO,Manuel Hipólito Herrera Arias | Tomás Arias | José Inocencio Arias | Manuel Arias,,
71,DEHEZA,DEHEZA,Nuñez,13.0,CALLE,100.0813947585743,"LINESTRING (-58.469772850145105 -34.53949656823915, -58.47044076758872 -34.53983477906955, -58.470702727518365 -34.53996751332858)",ambiguo,100.0,AMBIGUO,José Deheza | General Deheza,,
