id,nomoficial,nombre_norm,barrio,barrio_par,barrio_imp,comuna,tipo_c,long,geometry,wikidata_id,figura_nombre,partido_madre,tipo_figura
192,"UDAONDO, GUILLERMO AV.",GUILLERMO UDAONDO,Belgrano,Belgrano,Belgrano,13.0,AVENIDA,75.14749980824737,"LINESTRING (-58.44883407923525 -34.54208299068723, -58.44927602239712 -34.54265319736278)",Q5888980,Guillermo Udaondo,UCR,politico
336,"LARRALDE, CRISOLOGO AV.",CRISOLOGO LARRALDE,Nuñez,Nuñez,Nuñez,13.0,AVENIDA,75.13600298278176,"LINESTRING (-58.45979634372142 -34.54471963748383, -58.460478219130025 -34.54509431226068)",Q5791973,Crisólogo Larralde,UCR,politico
364,"LARRALDE, CRISOLOGO AV.",CRISOLOGO LARRALDE,Nuñez,Nuñez,Nuñez,13.0,AVENIDA,101.7684240453284,"LINESTRING (-58.460478219130025 -34.54509431226068, -58.46142810702545 -34.54556737030482)",Q5791973,Crisólogo Larralde,UCR,politico
394,"LARRALDE, CRISOLOGO AV.",CRISOLOGO LARRALDE,Nuñez,Nuñez,Nuñez,13.0,AVENIDA,101.2258015574549,"LINESTRING (-58.46142810702545 -34.54556737030482, -58.462372899116325 -34.54603795603545)",Q5791973,Crisólogo Larralde,UCR,politico
414,"UDAONDO, GUILLERMO AV.",GUILLERMO UDAONDO,Belgrano,Belgrano,Belgrano,13.0,AVENIDA,248.2329729643113,"LINESTRING (-58.44927602239712 -34.54265319736278, -58.4494701554494 -34.54287059137806, -58.44996592184579 -34.543543296824744, -58.450423962354115 -34.544135895887734, -58.45074953110023 -34.54452829492487)",Q5888980,Guillermo Udaondo,UCR,politico
427,"LARRALDE, CRISOLOGO AV.",CRISOLOGO LARRALDE,Nuñez,Nuñez,Nuñez,13.0,AVENIDA,94.48104457618568,"LINESTRING (-58.462372899116325 -34.54603795603545, -58.463254890558204 -34.54647698434778)",Q5791973,Crisólogo Larralde,UCR,politico
469,"LARRALDE, CRISOLOGO AV.",CRISOLOGO LARRALDE,Nuñez,Nuñez,Nuñez,13.0,AVENIDA,146.8275226585847,"LINESTRING (-58.463254890558204 -34.54647698434778, -58.463769903782456 -34.54673177234091, -58.46394260538376 -34.54681721065891, -58.46462768396311 -34.547156311081345)",Q5791973,Crisólogo Larralde,UCR,politico
482,"UDAONDO, GUILLERMO AV.",GUILLERMO UDAONDO,,Belgrano,Nuñez,,AVENIDA,126.733000363063,"LINESTRING (-58.45212523432932 -34.546285130327036, -58.45217620182861 -34.546385489541066, -58.45284837712524 -34.547256626440124)",Q5888980,Guillermo Udaondo,UCR,politico
501,"LARRALDE, CRISOLOGO AV.",CRISOLOGO LARRALDE,Nuñez,Nuñez,Nuñez,13.0,AVENIDA,59.8967656670325,"LINESTRING (-58.46462768396311 -34.547156311081345, -58.465187422844416 -34.54743382400167)",Q5791973,Crisólogo Larralde,UCR,politico
503,"PEDRAZA, MANUELA",MANUELA PEDRAZA,Nuñez,Nuñez,Nuñez,13.0,CALLE,157.8090133302636,"LINESTRING (-58.45729461045678 -34.54672029331228, -58.45876587369628 -34.547456219738855)",Q6753047,Manuela Pedraza,Prócer,procer
505,"PLAZA, VICTORINO DE LA, DR.",VICTORINO DE LA PLAZA,Belgrano,Belgrano,Belgrano,13.0,CALLE,117.8324015350993,"LINESTRING (-58.451292005174096 -34.54749022135914, -58.45106286867732 -34.54644510280815)",Q599235,Victorino de la Plaza,Prócer,procer
540,"LARRALDE, CRISOLOGO AV.",CRISOLOGO LARRALDE,Nuñez,Nuñez,Nuñez,13.0,AVENIDA,100.733741823576,"LINESTRING (-58.465187422844416 -34.54743382400167, -58.46612272484041 -34.54790881744659)",Q5791973,Crisólogo Larralde,UCR,politico
542,"PEDRAZA, MANUELA",MANUELA PEDRAZA,Nuñez,Nuñez,Nuñez,13.0,CALLE,101.251719814246,"LINESTRING (-58.45876587369628 -34.547456219738855, -58.45970982095984 -34.54792844565459)",Q6753047,Manuela Pedraza,Prócer,procer
544,"PLAZA, VICTORINO DE LA, DR.",VICTORINO DE LA PLAZA,Belgrano,Belgrano,Belgrano,13.0,CALLE,117.674567214341,"LINESTRING (-58.448045547643574 -34.54689935166837, -58.44827626508533 -34.54794278581159)",Q599235,Victorino de la Plaza,Prócer,procer
576,"UDAONDO, GUILLERMO AV.",GUILLERMO UDAONDO,,Belgrano,Nuñez,,AVENIDA,129.2171435202883,"LINESTRING (-58.45284837712523 -34.547256626440124, -58.45360556906682 -34.54823857738864)",Q5888980,Guillermo Udaondo,UCR,politico
584,"LARRALDE, CRISOLOGO AV.",CRISOLOGO LARRALDE,Nuñez,Nuñez,Nuñez,13.0,AVENIDA,100.7543971554528,"LINESTRING (-58.46612272484041 -34.54790881744659, -58.467062548144526 -34.54837802876375)",Q5791973,Crisólogo Larralde,UCR,politico
587,"PEDRAZA, MANUELA",MANUELA PEDRAZA,Nuñez,Nuñez,Nuñez,13.0,CALLE,100.0136770352691,"LINESTRING (-58.45970982095984 -34.54792844565459, -58.46064228894143 -34.548394818776266)",Q6753047,Manuela Pedraza,Prócer,procer
612,"BASAVILBASO, LEOPOLDO",LEOPOLDO BASAVILBASO,Belgrano,Belgrano,Belgrano,13.0,CALLE,135.9264383472212,"LINESTRING (-58.44402282754242 -34.547504853882984, -58.44461452473085 -34.5486280715132)",Q5973434,Leopoldo Basavilbaso,Prócer,procer
618,"PLAZA, VICTORINO DE LA, DR.",VICTORINO DE LA PLAZA,Belgrano,Belgrano,Belgrano,13.0,CALLE,128.9792028300083,"LINESTRING (-58.45154275199571 -34.54863421699789, -58.451292005174096 -34.54749022135914)",Q599235,Victorino de la Plaza,Prócer,procer
646,"PEDRAZA, MANUELA",MANUELA PEDRAZA,Nuñez,Nuñez,Nuñez,13.0,CALLE,72.41462612206534,"LINESTRING (-58.46064228894143 -34.548394818776266, -58.46131735087943 -34.548732621061234)",Q6753047,Manuela Pedraza,Prócer,procer
654,"LARRALDE, CRISOLOGO AV.",CRISOLOGO LARRALDE,Nuñez,Nuñez,Nuñez,13.0,AVENIDA,120.8479359797596,"LINESTRING (-58.467062548144526 -34.54837802876375, -58.46818980529912 -34.54894081924147)",Q5791973,Crisólogo Larralde,UCR,politico
673,"PLAZA, VICTORINO DE LA, DR.",VICTORINO DE LA PLAZA,Belgrano,Belgrano,Belgrano,13.0,CALLE,129.2161901202097,"LINESTRING (-58.44827626508533 -34.54794278581159, -58.448529695288784 -34.54908854848324)",Q599235,Victorino de la Plaza,Prócer,procer
676,"ACHA, MARIANO, GRAL.",MARIANO ACHA,Saavedra,Saavedra,Saavedra,12.0,CALLE,90.97923258290146,"LINESTRING (-58.495371181198365 -34.54909361046413, -58.495877838297076 -34.54838874115303)",Q32958,Mariano Acha,Prócer,procer
689,"PEDRAZA, MANUELA",MANUELA PEDRAZA,Nuñez,Nuñez,Nuñez,13.0,CALLE,182.5741381239661,"LINESTRING (-58.46131735087943 -34.548732621061234, -58.462028158487094 -34.54908795630312, -58.46224332093274 -34.54919563588794, -58.462395077743345 -34.549271555516206, -58.463021104738964 -34.549581890125076)",Q6753047,Manuela Pedraza,Prócer,procer
711,"UDAONDO, GUILLERMO AV.",GUILLERMO UDAONDO,,Belgrano,Nuñez,,AVENIDA,75.48637078679856,"LINESTRING (-58.45396190486918 -34.54876415639964, -58.454122297894244 -34.548985502890595, -58.45416219253426 -34.54919783490917, -58.45415859510474 -34.54940530438796)",Q5888980,Guillermo Udaondo,UCR,politico
727,"HERNANDEZ, RAFAEL",RAFAEL HERNANDEZ,Belgrano,Belgrano,Belgrano,13.0,CALLE,61.23991116851676,"LINESTRING (-58.45350593432731 -34.549519833981726, -58.45415859510474 -34.54940530438796)",Q6097413,Rafael Hernández,Prócer,procer
734,"LARRALDE, CRISOLOGO AV.",CRISOLOGO LARRALDE,,Nuñez,Saavedra,,AVENIDA,124.7268283899248,"LINESTRING (-58.46818980529912 -34.54894081924147, -58.46837348661948 -34.54907658964804, -58.4693031247129 -34.549582263794804)",Q5791973,Crisólogo Larralde,UCR,politico
739,"HERNANDEZ, RAFAEL",RAFAEL HERNANDEZ,Belgrano,Belgrano,Belgrano,13.0,CALLE,46.57941242508932,"LINESTRING (-58.453006735938565 -34.54959528767866, -58.45350593432731 -34.549519833981726)",Q6097413,Rafael Hernández,Prócer,procer
751,"HERNANDEZ, RAFAEL",RAFAEL HERNANDEZ,Belgrano,Belgrano,Belgrano,13.0,CALLE,55.15894224926683,"LINESTRING (-58.45241561237051 -34.549684745592494, -58.453006735938565 -34.54959528767866)",Q6097413,Rafael Hernández,Prócer,procer
762,"PLAZA, VICTORINO DE LA, DR.",VICTORINO DE LA PLAZA,Belgrano,Belgrano,Belgrano,13.0,CALLE,129.0434884900736,"LINESTRING (-58.45179367582516 -34.5497787753172, -58.45154275199571 -34.54863421699789)",Q599235,Victorino de la Plaza,Prócer,procer
763,"HERNANDEZ, RAFAEL",RAFAEL HERNANDEZ,Belgrano,Belgrano,Belgrano,13.0,CALLE,58.03228123506133,"LINESTRING (-58.45179367582516 -34.5497787753172, -58.45241561237051 -34.549684745592494)",Q6097413,Rafael Hernández,Prócer,procer
764,"PEDRAZA, MANUELA",MANUELA PEDRAZA,Nuñez,Nuñez,Nuñez,13.0,CALLE,46.22859270907546,"LINESTRING (-58.463021104738964 -34.549581890125076, -58.46345064985207 -34.54979945870145)",Q6753047,Manuela Pedraza,Prócer,procer
774,"ACHA, MARIANO, GRAL.",MARIANO ACHA,Saavedra,Saavedra,Saavedra,12.0,CALLE,100.6635728822929,"LINESTRING (-58.49482054199145 -34.549878350008306, -58.49490348305846 -34.54976015674607, -58.495371181198365 -34.54909361046413)",Q32958,Mariano Acha,Prócer,procer
776,"HERNANDEZ, RAFAEL",RAFAEL HERNANDEZ,Belgrano,Belgrano,Belgrano,13.0,CALLE,68.19173058405352,"LINESTRING (-58.45106287517904 -34.54988934070024, -58.45179367582516 -34.5497787753172)",Q6097413,Rafael Hernández,Prócer,procer
788,"HERNANDEZ, RAFAEL",RAFAEL HERNANDEZ,Belgrano,Belgrano,Belgrano,13.0,CALLE,48.55763830197819,"LINESTRING (-58.450542478580196 -34.54996802170466, -58.45106287517904 -34.54988934070024)",Q6097413,Rafael Hernández,Prócer,procer
798,"LARRALDE, CRISOLOGO AV.",CRISOLOGO LARRALDE,,Nuñez,Saavedra,,AVENIDA,94.3662936346486,"LINESTRING (-58.4693031247129 -34.549582263794804, -58.47015778608904 -34.55005504694904)",Q5791973,Crisólogo Larralde,UCR,politico
809,"HERNANDEZ, RAFAEL",RAFAEL HERNANDEZ,Belgrano,Belgrano,Belgrano,13.0,CALLE,47.47452865330926,"LINESTRING (-58.449510279315895 -34.55012312445253, -58.45001910207658 -34.55004634804488)",Q6097413,Rafael Hernández,Prócer,procer
820,"PLAZA, VICTORINO DE LA, DR.",VICTORINO DE LA PLAZA,Belgrano,Belgrano,Belgrano,13.0,CALLE,129.0645514647569,"LINESTRING (-58.448529695288784 -34.54908854848324, -58.44878279221028 -34.55023297231394)",Q599235,Victorino de la Plaza,Prócer,procer
821,"HERNANDEZ, RAFAEL",RAFAEL HERNANDEZ,Belgrano,Belgrano,Belgrano,13.0,CALLE,67.87796108425091,"LINESTRING (-58.44878279221028 -34.55023297231394, -58.449510279315895 -34.55012312445253)",Q6097413,Rafael Hernández,Prócer,procer
822,"QUIROGA, HORACIO",HORACIO QUIROGA,Nuñez,Nuñez,Nuñez,13.0,PASAJE,140.6372649854638,"LINESTRING (-58.45976396650503 -34.54959637458311, -58.460997752021775 -34.550214024418274, -58.46107894985777 -34.550246421058034)",Q20016473,Horacio Quiroga,UCR,politico
826,"PEDRAZA, MANUELA",MANUELA PEDRAZA,Nuñez,Nuñez,Nuñez,13.0,CALLE,101.0065362816192,"LINESTRING (-58.46345064985207 -34.54979945870145, -58.46439235194694 -34.550270521451765)",Q6753047,Manuela Pedraza,Prócer,procer
829,"HERNANDEZ, RAFAEL",RAFAEL HERNANDEZ,Belgrano,Belgrano,Belgrano,13.0,CALLE,31.21428782294646,"LINESTRING (-58.45001910207658 -34.55004634804488, -58.449949201866275 -34.550182892962795, -58.4500002501297 -34.550309098713335)",Q6097413,Rafael Hernández,Prócer,procer
837,"HERNANDEZ, RAFAEL",RAFAEL HERNANDEZ,Belgrano,Belgrano,Belgrano,13.0,CALLE,70.48157838390438,"LINESTRING (-58.44802738502143 -34.55034696737776, -58.44878279221028 -34.55023297231394)",Q6097413,Rafael Hernández,Prócer,procer
838,"HERNANDEZ, RAFAEL",RAFAEL HERNANDEZ,Belgrano,Belgrano,Belgrano,13.0,CALLE,30.73828135969341,"LINESTRING (-58.4500002501297 -34.550309098713335, -58.45014567915746 -34.55038641741774, -58.45030555298924 -34.55040815278667)",Q6097413,Rafael Hernández,Prócer,procer
856,"LARRALDE, CRISOLOGO AV.",CRISOLOGO LARRALDE,,Nuñez,Saavedra,,AVENIDA,93.88093752708268,"LINESTRING (-58.47015778608904 -34.55005504694904, -58.47100803097011 -34.55052542993947)",Q5791973,Crisólogo Larralde,UCR,politico
861,"NAON, ROMULO",ROMULO NAON,Saavedra,Saavedra,Saavedra,12.0,CALLE,80.5060877078137,"LINESTRING (-58.485996975863785 -34.55044091148765, -58.486464245399084 -34.549826769267604)",Q6115964,Rómulo Naón,UCR,politico
874,"PLAZA, VICTORINO DE LA, DR.",VICTORINO DE LA PLAZA,Belgrano,Belgrano,Belgrano,13.0,CALLE,51.69045757256199,"LINESTRING (-58.44878279221028 -34.55023297231394, -58.44880771116146 -34.55034509061117, -58.448861396474186 -34.55047052248099, -58.44892461429204 -34.55059863156699, -58.44897796943971 -34.55066596337486)",Q599235,Victorino de la Plaza,Prócer,procer
876,"ACHA, MARIANO, GRAL.",MARIANO ACHA,Saavedra,Saavedra,Saavedra,12.0,CALLE,100.8030529768561,"LINESTRING (-58.494269211952314 -34.55066421393318, -58.49482054199145 -34.549878350008306)",Q32958,Mariano Acha,Prócer,procer
885,"PEDRAZA, MANUELA",MANUELA PEDRAZA,Nuñez,Nuñez,Nuñez,13.0,CALLE,100.8229231851913,"LINESTRING (-58.46439235194694 -34.550270521451765, -58.46533244745623 -34.55074059099051)",Q6753047,Manuela Pedraza,Prócer,procer
889,PUENTE DISTRIBUIDOR SCALABRINI ORTIZ,PUENTE DISTRIBUIDOR SCALABRINI ORTIZ,Belgrano,Belgrano,Belgrano,13.0,PUENTE,351.4540757024403,"LINESTRING (-58.43692467292582 -34.54932895461563, -58.43672081024831 -34.54952965710906, -58.436349175856805 -34.549783472414994, -58.436155033476574 -34.54992873177156, -58.43605703203582 -34.5500189503581, -58.43598390413461 -34.55011725596855, -58.435906413231706 -34.55023111454892, -58.43585904546737 -34.55036638880949, -58.4358590069286 -34.55048378594725, -58.43591487915537 -34.55062971743672, -58.43602412613582 -34.5507518574528, -58.43617721627513 -34.550846823375394, -58.43631049189374 -34.550889600396054, -58.43646965509625 -34.550893156684275, -58.4366244865237 -34.55086833086702, -58.43673634406546 -34.55081497371122, -58.4368438707672 -34.55072957250337, -58.436921351877736 -34.55064416471219, -58.437086543356315 -34.550403079835746, -58.43718272713955 -34.550211913141446)",Q4263301,Raúl Scalabrini Ortiz,UCR,politico
894,"PLAZA, VICTORINO DE LA, DR.",VICTORINO DE LA PLAZA,Belgrano,Belgrano,Belgrano,13.0,CALLE,118.9807815800173,"LINESTRING (-58.451486358387626 -34.550789474189195, -58.45158510723212 -34.55067532607244, -58.45169433550259 -34.55048455733593, -58.45176100107447 -34.55033139100712, -58.45178518233303 -34.55026702556487, -58.4518104766369 -34.55015463091186, -58.45181373374359 -34.54998885262916, -58.45179367582516 -34.5497787753172)",Q599235,Victorino de la Plaza,Prócer,procer
910,"LARRALDE, CRISOLOGO AV.",CRISOLOGO LARRALDE,,Nuñez,Saavedra,,AVENIDA,94.4962984124445,"LINESTRING (-58.47100803097011 -34.55052542993947, -58.471863903302186 -34.550998834818095)",Q5791973,Crisólogo Larralde,UCR,politico
913,"HERNANDEZ, RAFAEL",RAFAEL HERNANDEZ,Belgrano,Belgrano,Belgrano,13.0,CALLE,80.87584711397717,"LINESTRING (-58.44763420596332 -34.550999397797426, -58.44802738502143 -34.55034696737776)",Q6097413,Rafael Hernández,Prócer,procer
915,"PLAZA, VICTORINO DE LA, DR.",VICTORINO DE LA PLAZA,Belgrano,Belgrano,Belgrano,13.0,CALLE,50.9260259688863,"LINESTRING (-58.44897796943971 -34.55066596337486, -58.44902894199736 -34.55073019621533, -58.449212589641114 -34.55090444701416, -58.44935156551094 -34.5510023526062)",Q599235,Victorino de la Plaza,Prócer,procer
923,"PLAZA, VICTORINO DE LA, DR.",VICTORINO DE LA PLAZA,Belgrano,Belgrano,Belgrano,13.0,CALLE,48.57432707972431,"LINESTRING (-58.45110066119778 -34.55108606299019, -58.45124460333528 -34.550996145585934, -58.45139314418264 -34.550886368834774, -58.451486358387626 -34.550789474189195)",Q599235,Victorino de la Plaza,Prócer,procer
940,"BALBIN, RICARDO, DR. AV.",RICARDO BALBIN,Saavedra,Saavedra,Saavedra,12.0,AVENIDA,53.35312805724936,"LINESTRING (-58.499285558263104 -34.55116313203991, -58.499618441557494 -34.55076886926101)",Q7322551,Ricardo Balbín,UCR,politico
943,"PLAZA, VICTORINO DE LA, DR.",VICTORINO DE LA PLAZA,Belgrano,Belgrano,Belgrano,13.0,CALLE,56.57324144050522,"LINESTRING (-58.44935156551094 -34.5510023526062, -58.44942952157781 -34.551056799392015, -58.44950560779968 -34.55109561174455, -58.44958475863201 -34.551131959546844, -58.449663825199536 -34.551163518442806, -58.44973999910714 -34.55118775284979, -58.44981319403562 -34.55121198688015, -58.4498952413481 -34.55123382741607)",Q599235,Victorino de la Plaza,Prócer,procer
944,"PEDRAZA, MANUELA",MANUELA PEDRAZA,Nuñez,Nuñez,Nuñez,13.0,CALLE,108.3180385876603,"LINESTRING (-58.46533244745623 -34.55074059099051, -58.46634234907617 -34.551245722784984)",Q6753047,Manuela Pedraza,Prócer,procer
953,"PLAZA, VICTORINO DE LA, DR.",VICTORINO DE LA PLAZA,Belgrano,Belgrano,Belgrano,13.0,CALLE,43.0773271239818,"LINESTRING (-58.45066927692333 -34.5512339099405, -58.450824106527506 -34.55119730527689, -58.45097902341553 -34.55114506625378, -58.45110066119778 -34.55108606299019)",Q599235,Victorino de la Plaza,Prócer,procer
954,"PLAZA, VICTORINO DE LA, DR.",VICTORINO DE LA PLAZA,Belgrano,Belgrano,Belgrano,13.0,CALLE,55.64001442343977,"LINESTRING (-58.4498952413481 -34.55123382741607, -58.44998894946915 -34.551255598744376, -58.45009440541414 -34.551265328734445, -58.45018811589809 -34.55127259252581, -58.45027893323364 -34.55127506709144, -58.45036975095588 -34.551275076742755, -58.45044005670686 -34.55127022489837, -58.45049631820394 -34.55126713214647)",Q599235,Victorino de la Plaza,Prócer,procer
959,"NAON, ROMULO",ROMULO NAON,Saavedra,Saavedra,Saavedra,12.0,CALLE,102.0976737436341,"LINESTRING (-58.48531050409437 -34.551339483286526, -58.48538138149453 -34.55125066558055, -58.4858061236086 -34.55068641978097, -58.48590260928506 -34.55056041306144)",Q6115964,Rómulo Naón,UCR,politico
972,"ACHA, MARIANO, GRAL.",MARIANO ACHA,Saavedra,Saavedra,Saavedra,12.0,CALLE,100.544358502538,"LINESTRING (-58.493719232650115 -34.55144803263177, -58.493801326116916 -34.55133103757033, -58.494269211952314 -34.55066421393318)",Q32958,Mariano Acha,Prócer,procer
973,"LARRALDE, CRISOLOGO AV.",CRISOLOGO LARRALDE,,Nuñez,Saavedra,,AVENIDA,92.74336683058388,"LINESTRING (-58.471863903302186 -34.550998834818095, -58.47270386779978 -34.55146350228593)",Q5791973,Crisólogo Larralde,UCR,politico
1026,"BALBIN, RICARDO, DR. AV.",RICARDO BALBIN,Saavedra,Saavedra,Saavedra,12.0,AVENIDA,100.410404464647,"LINESTRING (-58.49867500648357 -34.55191417315098, -58.499285558263104 -34.55116313203991)",Q7322551,Ricardo Balbín,UCR,politico
1031,"LARRALDE, CRISOLOGO AV.",CRISOLOGO LARRALDE,,Nuñez,Saavedra,,AVENIDA,95.97623180531043,"LINESTRING (-58.47270386779978 -34.55146350228593, -58.473573123420756 -34.55194435904122)",Q5791973,Crisólogo Larralde,UCR,politico
