id,nomoficial,nombre_norm,barrio,barrio_par,barrio_imp,comuna,tipo_c,long,geometry,wikidata_id,figura_nombre,partido_madre,partido_raw,tipo_figura,fuente_match,calle_wikidata_id,calle_wikidata_label
11340,"CARRIL, SALVADOR MARIA DEL AV.",SALVADOR MARIA DEL CARRIL,Villa Devoto,Villa Devoto,Villa Devoto,11.0,AVENIDA,87.74167656208463,"LINESTRING (-58.526596328590124 -34.60838661813109, -58.52732971927477 -34.60889441153081)",Q7406435,Salvador María del Carril,Liberalismo,Partido Unitario,politico,wikidata_p138,Q5714060,Avenida Salvador María del Carril
5636,"SCALABRINI ORTIZ, RAUL",RAUL SCALABRINI ORTIZ,Palermo,Palermo,Palermo,14.0,CALLE,83.98298762882348,"LINESTRING (-58.41499868095848 -34.584539713812035, -58.41427851042832 -34.58407244642955)",Q4263301,Raúl Scalabrini Ortiz,UCR,Unión Cívica Radical,politico,wikidata_p138,Q17623075,Museo Nacional Ferroviario Raúl Scalabrini Ortiz
5546,"SCALABRINI ORTIZ, RAUL",RAUL SCALABRINI ORTIZ,Palermo,Palermo,Palermo,14.0,CALLE,104.8783582550163,"LINESTRING (-58.41427851042832 -34.58407244642955, -58.41337918104376 -34.58348890232599)",Q4263301,Raúl Scalabrini Ortiz,UCR,Unión Cívica Radical,politico,wikidata_p138,Q17623075,Museo Nacional Ferroviario Raúl Scalabrini Ortiz
5428,"SCALABRINI ORTIZ, RAUL",RAUL SCALABRINI ORTIZ,Palermo,Palermo,Palermo,14.0,CALLE,148.283428461111,"LINESTRING (-58.41337918104376 -34.58348890232599, -58.412107663432835 -34.58266385356913)",Q4263301,Raúl Scalabrini Ortiz,UCR,Unión Cívica Radical,politico,wikidata_p138,Q17623075,Museo Nacional Ferroviario Raúl Scalabrini Ortiz
5241,"SCALABRINI ORTIZ, RAUL",RAUL SCALABRINI ORTIZ,Palermo,Palermo,Palermo,14.0,CALLE,119.8415630808166,"LINESTRING (-58.412107663432835 -34.58266385356913, -58.411098759936436 -34.58197777986115)",Q4263301,Raúl Scalabrini Ortiz,UCR,Unión Cívica Radical,politico,wikidata_p138,Q17623075,Museo Nacional Ferroviario Raúl Scalabrini Ortiz
5124,"SCALABRINI ORTIZ, RAUL",RAUL SCALABRINI ORTIZ,Palermo,Palermo,Palermo,14.0,CALLE,142.9199694718638,"LINESTRING (-58.411098759936436 -34.58197777986115, -58.41040009782517 -34.58082633102432)",Q4263301,Raúl Scalabrini Ortiz,UCR,Unión Cívica Radical,politico,wikidata_p138,Q17623075,Museo Nacional Ferroviario Raúl Scalabrini Ortiz
4869,"SCALABRINI ORTIZ, RAUL",RAUL SCALABRINI ORTIZ,Palermo,Palermo,Palermo,14.0,CALLE,117.3777843058209,"LINESTRING (-58.41040009782517 -34.58082633102432, -58.40983474598298 -34.57987719375728)",Q4263301,Raúl Scalabrini Ortiz,UCR,Unión Cívica Radical,politico,wikidata_p138,Q17623075,Museo Nacional Ferroviario Raúl Scalabrini Ortiz
4685,"SCALABRINI ORTIZ, RAUL",RAUL SCALABRINI ORTIZ,Palermo,Palermo,Palermo,14.0,CALLE,117.0563354445583,"LINESTRING (-58.40983474598298 -34.57987719375728, -58.40927093787326 -34.578930660095594)",Q4263301,Raúl Scalabrini Ortiz,UCR,Unión Cívica Radical,politico,wikidata_p138,Q17623075,Museo Nacional Ferroviario Raúl Scalabrini Ortiz
4510,"SCALABRINI ORTIZ, RAUL",RAUL SCALABRINI ORTIZ,Palermo,Palermo,Palermo,14.0,CALLE,135.2945647862031,"LINESTRING (-58.40927093787326 -34.578930660095594, -58.40861937235455 -34.57783661680978)",Q4263301,Raúl Scalabrini Ortiz,UCR,Unión Cívica Radical,politico,wikidata_p138,Q17623075,Museo Nacional Ferroviario Raúl Scalabrini Ortiz
4055,"SCALABRINI ORTIZ, RAUL",RAUL SCALABRINI ORTIZ,Palermo,Palermo,Palermo,14.0,CALLE,80.36390507043063,"LINESTRING (-58.40751847573079 -34.576194115340144, -58.40699942756088 -34.575610626306414)",Q4263301,Raúl Scalabrini Ortiz,UCR,Unión Cívica Radical,politico,wikidata_p138,Q17623075,Museo Nacional Ferroviario Raúl Scalabrini Ortiz
