wikidata_id,nombre,alias,partido_raw,inicio_mandato,fin_mandato,sitelinks,tipo,partido_madre,sitelinks_max
Q442729,José Figueroa Alcorta,José María Cornelio del Corazón de Jesús Figueroa Alcorta,Partido Autonomista Nacional,1906,1910,27,presidente,Liberalismo,27
Q442729,José Figueroa Alcorta,Jose Figueroa Alcorta,Partido Autonomista Nacional,1906,1910,27,presidente,Liberalismo,27
Q383015,Roque Sáenz Peña,Roque Sáenz Peña y Lahitte,Partido Autonomista Nacional,1910,1914,35,presidente,Liberalismo,35
Q383015,Roque Sáenz Peña,Roque José Antonio del Sagrado Corazón de Jesús Sáenz Peña y Lahitte,Partido Autonomista Nacional,1910,1914,35,presidente,Liberalismo,35
Q383015,Roque Sáenz Peña,Roque José Antonio del Sagrado Corazón de Jesús Sáenz Peña,Partido Autonomista Nacional,1910,1914,35,presidente,Liberalismo,35
Q297134,Hipólito Yrigoyen,Hipólito Hirigoyen,Unión Cívica Radical,1916,1922,51,presidente,UCR,51
Q297134,Hipólito Yrigoyen,Hipolito Hirigoyen,Unión Cívica Radical,1916,1922,51,presidente,UCR,51
Q297134,Hipólito Yrigoyen,Yrigoyen,Unión Cívica Radical,1916,1922,51,presidente,UCR,51
Q297134,Hipólito Yrigoyen,Hipólito Irigoyen,Unión Cívica Radical,1916,1922,51,presidente,UCR,51
Q297134,Hipólito Yrigoyen,Hipolito Irigoyen,Unión Cívica Radical,1916,1922,51,presidente,UCR,51
Q297134,Hipólito Yrigoyen,Hipolito Yrigoyen,Unión Cívica Radical,1916,1922,51,presidente,UCR,51
Q363586,Marcelo Torcuato de Alvear,Máximo Marcelo Torcuato de Alvear y Pacheco,Unión Cívica Radical,1922,1928,32,presidente,UCR,32
Q363586,Marcelo Torcuato de Alvear,Marcelo T. de Alvear,Unión Cívica Radical,1922,1928,32,presidente,UCR,32
Q363555,José Félix Uriburu,Jose Uriburu,Alianza Libertadora Nacionalista,1930,1932,32,presidente,Dictadura,32
Q363555,José Félix Uriburu,José Felix Uriburu,Alianza Libertadora Nacionalista,1930,1932,32,presidente,Dictadura,32
Q363555,José Félix Uriburu,Jose Félix Uriburu,Alianza Libertadora Nacionalista,1930,1932,32,presidente,Dictadura,32
Q363555,José Félix Uriburu,Jose Felix Uriburu,Alianza Libertadora Nacionalista,1930,1932,32,presidente,Dictadura,32
Q363555,José Félix Uriburu,José F. Uriburu,Alianza Libertadora Nacionalista,1930,1932,32,presidente,Dictadura,32
Q363555,José Félix Uriburu,Jose F. Uriburu,Alianza Libertadora Nacionalista,1930,1932,32,presidente,Dictadura,32
Q363555,José Félix Uriburu,José F Uriburu,Alianza Libertadora Nacionalista,1930,1932,32,presidente,Dictadura,32
Q363555,José Félix Uriburu,Jose F Uriburu,Alianza Libertadora Nacionalista,1930,1932,32,presidente,Dictadura,32
Q363555,José Félix Uriburu,J. F. Uriburu,Alianza Libertadora Nacionalista,1930,1932,32,presidente,Dictadura,32
Q363555,José Félix Uriburu,J F. Uriburu,Alianza Libertadora Nacionalista,1930,1932,32,presidente,Dictadura,32
Q363555,José Félix Uriburu,J F Uriburu,Alianza Libertadora Nacionalista,1930,1932,32,presidente,Dictadura,32
Q363555,José Félix Uriburu,General Uriburu,Alianza Libertadora Nacionalista,1930,1932,32,presidente,Dictadura,32
Q363555,José Félix Uriburu,Félix Uriburu,Alianza Libertadora Nacionalista,1930,1932,32,presidente,Dictadura,32
Q363555,José Félix Uriburu,Felix Uriburu,Alianza Libertadora Nacionalista,1930,1932,32,presidente,Dictadura,32
Q365352,Agustín Pedro Justo,General Justo,Unión Cívica Radical,1932,1938,33,presidente,UCR,33
Q365352,Agustín Pedro Justo,Agustín Pedo injusto,Unión Cívica Radical,1932,1938,33,presidente,UCR,33
Q365352,Agustín Pedro Justo,Agustin P. Justo,Unión Cívica Radical,1932,1938,33,presidente,UCR,33
Q365352,Agustín Pedro Justo,Agustin P Justo,Unión Cívica Radical,1932,1938,33,presidente,UCR,33
Q365352,Agustín Pedro Justo,Agustín Justo,Unión Cívica Radical,1932,1938,33,presidente,UCR,33
Q365352,Agustín Pedro Justo,Agustin Justo,Unión Cívica Radical,1932,1938,33,presidente,UCR,33
Q365352,Agustín Pedro Justo,Agustin Pedro Justo,Unión Cívica Radical,1932,1938,33,presidente,UCR,33
Q365352,Agustín Pedro Justo,Agustín P. Justo,Unión Cívica Radical,1932,1938,33,presidente,UCR,33
Q365369,Roberto Marcelino Ortiz,Roberto María Ortiz,Concordancia (Argentina),1938,1942,26,presidente,Sin clasificar,26
Q365369,Roberto Marcelino Ortiz,Roberto M. Ortiz,Concordancia (Argentina),1938,1942,26,presidente,Sin clasificar,26
Q365369,Roberto Marcelino Ortiz,Roberto M Ortiz,Concordancia (Argentina),1938,1942,26,presidente,Sin clasificar,26
Q365369,Roberto Marcelino Ortiz,Roberto Ortiz,Concordancia (Argentina),1938,1942,26,presidente,Sin clasificar,26
Q188985,Ramón Antonio Castillo,Ramon S. Castillo,Partido Demócrata (Argentina),1942,1943,26,presidente,Liberalismo,26
Q188985,Ramón Antonio Castillo,Ramón Castillo,Partido Demócrata (Argentina),1942,1943,26,presidente,Liberalismo,26
Q365314,Pedro Pablo Ramírez,Pedro Pablo Ramirez,político independiente,1943,1944,24,presidente,Dictadura,24
Q365314,Pedro Pablo Ramírez,Pedro P. Ramírez,político independiente,1943,1944,24,presidente,Dictadura,24
Q365314,Pedro Pablo Ramírez,Pedro P. Ramirez,político independiente,1943,1944,24,presidente,Dictadura,24
Q365314,Pedro Pablo Ramírez,Pedro P Ramírez,político independiente,1943,1944,24,presidente,Dictadura,24
Q365314,Pedro Pablo Ramírez,Pedro P Ramirez,político independiente,1943,1944,24,presidente,Dictadura,24
Q356699,Edelmiro Julián Farrell,Edelmiro Julian Farrell,político independiente,1944,1946,29,presidente,Dictadura,29
Q356699,Edelmiro Julián Farrell,Edelmiro Julián Farrel,político independiente,1944,1946,29,presidente,Dictadura,29
Q356699,Edelmiro Julián Farrell,Edelmiro Julian Farrel,político independiente,1944,1946,29,presidente,Dictadura,29
Q356699,Edelmiro Julián Farrell,Edelmiro J.Farrell,político independiente,1944,1946,29,presidente,Dictadura,29
Q356699,Edelmiro Julián Farrell,Edelmiro J.Farrel,político independiente,1944,1946,29,presidente,Dictadura,29
Q356699,Edelmiro Julián Farrell,Edelmiro J. Farrell,político independiente,1944,1946,29,presidente,Dictadura,29
Q356699,Edelmiro Julián Farrell,Edelmiro J Farrell,político independiente,1944,1946,29,presidente,Dictadura,29
Q356699,Edelmiro Julián Farrell,Edelmiro Farrell,político independiente,1944,1946,29,presidente,Dictadura,29
Q356699,Edelmiro Julián Farrell,Edelmiro Farrel,político independiente,1944,1946,29,presidente,Dictadura,29
Q93330,Juan Domingo Perón,Juan Perón,Partido Justicialista,1946,1955,91,presidente,PJ,91
Q93330,Juan Domingo Perón,Juan Peron,Partido Justicialista,1946,1955,91,presidente,PJ,91
Q93330,Juan Domingo Perón,Juan D. Perón,Partido Justicialista,1946,1955,91,presidente,PJ,91
Q93330,Juan Domingo Perón,Gral. Peron,Partido Justicialista,1946,1955,91,presidente,PJ,91
Q93330,Juan Domingo Perón,General Perón,Partido Justicialista,1946,1955,91,presidente,PJ,91
Q93330,Juan Domingo Perón,el robas,Partido Justicialista,1946,1955,91,presidente,PJ,91
Q93330,Juan Domingo Perón,El Pocho,Partido Justicialista,1946,1955,91,presidente,PJ,91
Q93330,Juan Domingo Perón,Coronel Perón,Partido Justicialista,1946,1955,91,presidente,PJ,91
Q93330,Juan Domingo Perón,El General,Partido Justicialista,1946,1955,91,presidente,PJ,91
Q93330,Juan Domingo Perón,Peron,Partido Justicialista,1946,1955,91,presidente,PJ,91
Q93330,Juan Domingo Perón,Perón,Partido Justicialista,1946,1955,91,presidente,PJ,91
Q188974,Pedro Eugenio Aramburu,Pedro Eugenio Aramburu Cilveti,Unión del Pueblo Argentino,1955,1958,33,presidente,Sin clasificar,33
Q346658,Arturo Frondizi,Frondizi,Unión Cívica Radical Intransigente,1958,1962,42,presidente,UCR,42
Q470971,José María Guido,José Maria Guido,Unión Cívica Radical Intransigente,1962,1963,28,presidente,UCR,28
Q470971,José María Guido,Jose María Guido,Unión Cívica Radical Intransigente,1962,1963,28,presidente,UCR,28
Q470971,José María Guido,Jose Maria Guido,Unión Cívica Radical Intransigente,1962,1963,28,presidente,UCR,28
Q270368,Arturo Umberto Illia,Arturo Illia,Unión Cívica Radical del Pueblo,1963,1966,41,presidente,UCR,41
Q365326,Juan Carlos Onganía,Onganía,político independiente,1966,1970,33,presidente,Dictadura,33
Q365326,Juan Carlos Onganía,Ongania,político independiente,1966,1970,33,presidente,Dictadura,33
Q365326,Juan Carlos Onganía,Juan Carlos Ongania,político independiente,1966,1970,33,presidente,Dictadura,33
