wikidata_id,nombre,alias,partido_raw,inicio_mandato,fin_mandato,sitelinks,tipo,partido_madre,sitelinks_max
Q6009659,Melitón Arroyo,Meliton Arroyo,,,,1,procer,Prócer,1
Q5895927,Hermógenes Ruiz,Hermogenes Ruiz,,,,2,procer,Prócer,2
Q6299540,Juan Crisóstomo Álvarez,Crisostomo Alvarez,,,,1,procer,Prócer,1
Q6299540,Juan Crisóstomo Álvarez,Crisostomo Álvarez,,,,1,procer,Prócer,1
Q6299540,Juan Crisóstomo Álvarez,Crisóstomo Alvarez,,,,1,procer,Prócer,1
Q6299540,Juan Crisóstomo Álvarez,Crisóstomo Álvarez,,,,1,procer,Prócer,1
Q6299540,Juan Crisóstomo Álvarez,Juan Crisostomo Alvarez,,,,1,procer,Prócer,1
Q6299540,Juan Crisóstomo Álvarez,Juan Crisostomo Álvarez,,,,1,procer,Prócer,1
Q6299540,Juan Crisóstomo Álvarez,Juan Crisóstomo Alvarez,,,,1,procer,Prócer,1
Q5742189,Camilo Rojo,,,,,1,procer,Prócer,1
Q5798128,Daniel Aráoz,Daniel Araoz,,,,1,procer,Prócer,1
Q5830249,Elías Smith,Elias Smith,,,,1,procer,Prócer,1
Q5795896,Cándido Pujato,Candido Pujato,,,,1,procer,Prócer,1
Q5795903,Cándido de Lasala,Candido de Lasala,,,,2,procer,Prócer,2
Q5795997,Cástulo Aparicio,Castulo Aparicio,,,,3,procer,Prócer,3
Q5837922,Apolinario Saravia Tomlinson,Tommo,,,,2,procer,Prócer,2
Q5749799,Carlos Bauness,,,,,1,procer,Prócer,1
Q5750359,Carlos Forest,,,,,1,procer,Prócer,1
Q5750361,Carlos Forest,,,,,1,procer,Prócer,1
Q5796224,César Fournier,Cesar Fournier,,,,1,procer,Prócer,1
Q6553420,Mariquita Sánchez de Thompson,María Josepha Petrona de Todos los Santos Sánchez de Velasco y Trillo,,,,7,procer,Prócer,7
Q6553420,Mariquita Sánchez de Thompson,Maria Sánchez,,,,7,procer,Prócer,7
Q6553420,Mariquita Sánchez de Thompson,María Sanchez,,,,7,procer,Prócer,7
Q6553420,Mariquita Sánchez de Thompson,Maria Sanchez de Mendeville,,,,7,procer,Prócer,7
Q6553420,Mariquita Sánchez de Thompson,Maria Sánchez de Mendeville,,,,7,procer,Prócer,7
Q6553420,Mariquita Sánchez de Thompson,María Sanchez de Mendeville,,,,7,procer,Prócer,7
Q6553420,Mariquita Sánchez de Thompson,María Sánchez de Mendeville,,,,7,procer,Prócer,7
Q6553420,Mariquita Sánchez de Thompson,Maria Sanchez de Thompson,,,,7,procer,Prócer,7
Q6553420,Mariquita Sánchez de Thompson,Maria Sánchez de Thompson,,,,7,procer,Prócer,7
Q6553420,Mariquita Sánchez de Thompson,María Sanchez de Thompson,,,,7,procer,Prócer,7
Q6553420,Mariquita Sánchez de Thompson,María Sánchez de Thompson,,,,7,procer,Prócer,7
Q6553420,Mariquita Sánchez de Thompson,Mariquita Sánchez de Thompson y Mendeville,,,,7,procer,Prócer,7
Q5751551,Carlos Robbio,,,,,1,procer,Prócer,1
Q5751570,Carlos Robinson (marino),,,,,1,procer,Prócer,1
Q5751634,Carlos Roseti,,,,,1,procer,Prócer,1
Q5707660,Arístides Villanueva,Aristides Villanueva,,,,3,procer,Prócer,3
Q5657814,Aarón Castellanos,Aarón Castellanos Velasco,,,,3,procer,Prócer,3
Q19288255,Antonio Cabral de Caravajal,Antonio Cabral de Melo,,,,4,procer,Prócer,4
Q5759046,Cayetano Laprida,,,,,1,procer,Prócer,1
Q5819148,Eduardo Costa,,,,,3,procer,Prócer,3
Q5865029,Francisco Alcobendas,,,,,2,procer,Prócer,2
Q5760104,Celedonio de la Cuesta,,,,,1,procer,Prócer,1
Q5760166,Celestino Vidal,,,,,1,procer,Prócer,1
Q2884632,Manuel Pagola,Manuel Vicente Pagola,,,,2,procer,Prócer,2
Q3742283,Felipe Caronti,,,,,4,procer,Prócer,4
Q6148462,Tomás Craig,Tomas Craig,,,,1,procer,Prócer,1
Q6148479,Tomás Espora,Tomás Domingo de los Dolores Espora,,,,1,procer,Prócer,1
Q6148479,Tomás Espora,Tomas Espora,,,,1,procer,Prócer,1
Q6148527,Tomás José Grigera,Tomas Jose Grigera,,,,1,procer,Prócer,1
Q2917584,Wenceslao Posse,,,,,1,procer,Prócer,1
Q6148550,Tomás Lobo,Tomas Lobo,,,,1,procer,Prócer,1
