"radios","cod_prov","Provincia","cod_depto","Departamento","HNBI_TOT_Sí","HNBI_TOT_No","Total"
"020070101","02","Caba","02007","Comuna 1",19,87,106
"020070201","02","Caba","02007","Comuna 1",25,206,231
"020070202","02","Caba","02007","Comuna 1",40,130,170
"020070203","02","Caba","02007","Comuna 1",28,74,102
"020070204","02","Caba","02007","Comuna 1",24,187,211
"020070205","02","Caba","02007","Comuna 1",37,192,229
"020070207","02","Caba","02007","Comuna 1",77,242,319
"020070208","02","Caba","02007","Comuna 1",45,204,249
"020070209","02","Caba","02007","Comuna 1",35,153,188
"020070210","02","Caba","02007","Comuna 1",22,105,127
"020070211","02","Caba","02007","Comuna 1",42,207,249
"020070212","02","Caba","02007","Comuna 1",82,341,423
"020070213","02","Caba","02007","Comuna 1",30,141,171
"020070214","02","Caba","02007","Comuna 1",65,179,244
"020070215","02","Caba","02007","Comuna 1",75,204,279
"020070216","02","Caba","02007","Comuna 1",32,122,154
"020070217","02","Caba","02007","Comuna 1",60,199,259
"020070218","02","Caba","02007","Comuna 1",31,170,201
"020070219","02","Caba","02007","Comuna 1",31,91,122
"020070220","02","Caba","02007","Comuna 1",66,73,139
"020070221","02","Caba","02007","Comuna 1",18,349,367
"020070222","02","Caba","02007","Comuna 1",23,298,321
"020070223","02","Caba","02007","Comuna 1",41,255,296
"020070301","02","Caba","02007","Comuna 1",13,117,130
"020070302","02","Caba","02007","Comuna 1",106,441,547
"020070303","02","Caba","02007","Comuna 1",34,115,149
"020070304","02","Caba","02007","Comuna 1",23,152,175
"020070305","02","Caba","02007","Comuna 1",52,294,346
"020070306","02","Caba","02007","Comuna 1",18,128,146
"020070307","02","Caba","02007","Comuna 1",104,212,316
"020070308","02","Caba","02007","Comuna 1",75,246,321
"020070309","02","Caba","02007","Comuna 1",66,148,214
"020070310","02","Caba","02007","Comuna 1",89,398,487
"020070311","02","Caba","02007","Comuna 1",27,203,230
"020070312","02","Caba","02007","Comuna 1",51,186,237
"020070313","02","Caba","02007","Comuna 1",45,141,186
"020070314","02","Caba","02007","Comuna 1",44,161,205
"020070315","02","Caba","02007","Comuna 1",63,204,267
"020070316","02","Caba","02007","Comuna 1",29,114,143
"020070317","02","Caba","02007","Comuna 1",26,155,181
"020070318","02","Caba","02007","Comuna 1",8,103,111
"020070319","02","Caba","02007","Comuna 1",23,100,123
"020070401","02","Caba","02007","Comuna 1",5,488,493
"020070402","02","Caba","02007","Comuna 1",25,526,551
"020070403","02","Caba","02007","Comuna 1",4,264,268
"020070404","02","Caba","02007","Comuna 1",7,295,302
"020070405","02","Caba","02007","Comuna 1",3,164,167
"020070406","02","Caba","02007","Comuna 1",14,308,322
"020070407","02","Caba","02007","Comuna 1",3,312,315
"020070408","02","Caba","02007","Comuna 1",17,308,325
"020070501","02","Caba","02007","Comuna 1",9,325,334
"020070502","02","Caba","02007","Comuna 1",4,253,257
"020070503","02","Caba","02007","Comuna 1",12,511,523
"020070504","02","Caba","02007","Comuna 1",5,460,465
"020070505","02","Caba","02007","Comuna 1",2,218,220
"020070506","02","Caba","02007","Comuna 1",6,474,480
"020070507","02","Caba","02007","Comuna 1",3,335,338
"020070601","02","Caba","02007","Comuna 1",4,390,394
"020070602","02","Caba","02007","Comuna 1",2,312,314
"020070603","02","Caba","02007","Comuna 1",1,496,497
"020070604","02","Caba","02007","Comuna 1",6,459,465
"020070605","02","Caba","02007","Comuna 1",4,219,223
"020070606","02","Caba","02007","Comuna 1",2,268,270
"020070607","02","Caba","02007","Comuna 1",5,227,232
"020070608","02","Caba","02007","Comuna 1",1,292,293
"020070609","02","Caba","02007","Comuna 1",11,515,526
"020070610","02","Caba","02007","Comuna 1",4,280,284
"020070701","02","Caba","02007","Comuna 1",3,390,393
"020070702","02","Caba","02007","Comuna 1",3,151,154
"020070703","02","Caba","02007","Comuna 1",7,136,143
"020070704","02","Caba","02007","Comuna 1",5,205,210
"020070705","02","Caba","02007","Comuna 1",0,260,260
"020070706","02","Caba","02007","Comuna 1",10,173,183
"020070707","02","Caba","02007","Comuna 1",7,406,413
"020070708","02","Caba","02007","Comuna 1",5,332,337
"020070709","02","Caba","02007","Comuna 1",2,285,287
"020070710","02","Caba","02007","Comuna 1",8,364,372
"020070711","02","Caba","02007","Comuna 1",4,184,188
