"radios","cod_prov","Provincia","cod_depto","Departamento","PNIV_ASI_Sin instrucción","PNIV_ASI_Primario incompleto","PNIV_ASI_Primario completo","PNIV_ASI_EGB incompleto","PNIV_ASI_EGB completo","PNIV_ASI_Secundario incompleto","PNIV_ASI_Secundario completo","PNIV_ASI_Polimodal incompleto","PNIV_ASI_Polimodal completo","PNIV_ASI_Terciario no universitario incompleto","PNIV_ASI_Terciario no universitario completo","PNIV_ASI_Universitario de grado incompleto","PNIV_ASI_Universitario de grado completo","PNIV_ASI_Posgrado (especialización, maestría o doctorado) incompleto","PNIV_ASI_Posgrado (especialización, maestría o doctorado) completo","PNIV_ASI_Ignorado","Total"
"020070101","02","Caba","02007","Comuna 1",1,2,12,0,0,15,39,0,1,4,8,6,24,1,5,4,122
"020070201","02","Caba","02007","Comuna 1",4,19,39,0,0,79,96,2,2,6,20,11,15,0,5,0,298
"020070202","02","Caba","02007","Comuna 1",5,26,35,0,0,75,58,0,2,3,6,6,2,0,1,2,221
"020070203","02","Caba","02007","Comuna 1",1,8,21,0,0,30,47,0,1,8,9,3,0,0,0,1,129
"020070204","02","Caba","02007","Comuna 1",5,23,73,0,0,92,90,0,0,9,19,7,2,0,3,3,326
"020070205","02","Caba","02007","Comuna 1",7,22,59,0,0,101,86,1,0,11,11,7,5,0,5,7,322
"020070207","02","Caba","02007","Comuna 1",8,38,64,0,1,149,126,1,1,13,16,6,9,1,2,7,442
"020070208","02","Caba","02007","Comuna 1",5,30,57,0,0,88,121,1,1,10,15,10,11,1,3,0,353
"020070209","02","Caba","02007","Comuna 1",1,19,30,0,0,59,101,1,1,8,14,5,2,1,1,1,244
"020070210","02","Caba","02007","Comuna 1",2,15,39,0,0,45,66,0,1,4,13,7,4,0,2,4,202
"020070211","02","Caba","02007","Comuna 1",11,41,45,0,0,86,113,0,3,9,11,10,11,1,2,7,350
"020070212","02","Caba","02007","Comuna 1",19,35,111,1,1,169,215,1,1,15,20,12,14,0,1,2,617
"020070213","02","Caba","02007","Comuna 1",3,18,33,0,0,71,79,0,0,9,11,11,13,1,4,2,255
"020070214","02","Caba","02007","Comuna 1",4,25,46,0,1,67,117,2,0,8,17,6,15,0,2,3,313
"020070215","02","Caba","02007","Comuna 1",5,34,75,0,2,111,127,1,1,6,11,8,11,0,0,4,396
"020070216","02","Caba","02007","Comuna 1",3,11,46,0,0,56,76,0,1,3,6,8,5,0,1,1,217
"020070217","02","Caba","02007","Comuna 1",16,26,64,1,0,78,119,1,3,5,9,6,7,0,1,2,338
"020070218","02","Caba","02007","Comuna 1",8,24,62,0,0,57,117,1,0,7,12,5,4,0,0,11,308
"020070219","02","Caba","02007","Comuna 1",5,16,39,0,0,43,58,0,0,2,8,1,3,1,0,2,178
"020070220","02","Caba","02007","Comuna 1",2,20,34,0,0,47,65,0,0,6,8,5,2,0,0,1,190
"020070221","02","Caba","02007","Comuna 1",3,33,91,0,1,106,176,0,2,10,20,18,4,0,2,5,471
"020070222","02","Caba","02007","Comuna 1",16,36,74,0,1,86,162,1,3,13,19,6,5,0,2,9,433
"020070223","02","Caba","02007","Comuna 1",19,43,82,0,0,99,164,3,0,6,19,5,6,0,0,2,448
"020070301","02","Caba","02007","Comuna 1",4,23,46,0,0,61,55,1,0,5,6,3,3,0,0,3,210
"020070302","02","Caba","02007","Comuna 1",25,68,154,1,0,154,199,2,3,6,20,14,18,0,11,12,687
"020070303","02","Caba","02007","Comuna 1",2,25,35,0,0,61,52,0,1,2,11,5,1,0,1,0,196
"020070304","02","Caba","02007","Comuna 1",4,27,29,0,0,70,69,0,0,7,2,3,0,0,0,1,212
"020070305","02","Caba","02007","Comuna 1",18,67,105,0,0,100,127,1,2,6,17,4,2,1,0,6,456
"020070306","02","Caba","02007","Comuna 1",4,21,26,1,0,51,62,0,2,4,10,6,3,1,3,3,197
"020070307","02","Caba","02007","Comuna 1",12,37,85,0,0,100,195,0,1,9,17,2,10,0,2,4,474
"020070308","02","Caba","02007","Comuna 1",10,60,107,0,0,88,162,3,3,4,16,8,6,0,1,3,471
"020070309","02","Caba","02007","Comuna 1",10,24,47,0,0,45,81,1,0,8,11,4,14,0,5,6,256
"020070310","02","Caba","02007","Comuna 1",20,69,156,0,0,137,230,1,0,12,19,9,15,0,3,3,674
"020070311","02","Caba","02007","Comuna 1",12,30,70,0,1,67,116,1,2,5,9,4,5,0,2,2,326
"020070312","02","Caba","02007","Comuna 1",33,23,48,0,0,50,106,0,1,9,23,12,17,1,7,1,331
"020070313","02","Caba","02007","Comuna 1",1,29,53,0,0,61,98,0,0,3,4,3,6,0,1,1,260
"020070314","02","Caba","02007","Comuna 1",7,24,63,0,0,74,101,0,0,4,0,4,0,0,0,3,280
"020070315","02","Caba","02007","Comuna 1",9,59,83,0,0,95,123,0,2,5,6,6,0,0,2,2,392
"020070316","02","Caba","02007","Comuna 1",2,29,38,0,1,45,52,0,0,1,2,1,0,0,0,0,171
"020070317","02","Caba","02007","Comuna 1",8,32,86,0,0,64,79,0,0,1,5,1,2,0,2,6,286
"020070318","02","Caba","02007","Comuna 1",2,16,37,0,0,27,60,0,0,1,3,3,2,0,0,1,152
"020070319","02","Caba","02007","Comuna 1",2,26,39,1,1,32,43,0,0,0,4,6,1,0,0,2,157
"020070401","02","Caba","02007","Comuna 1",4,4,20,0,0,26,106,0,2,20,68,45,193,2,91,6,587
"020070402","02","Caba","02007","Comuna 1",12,12,41,1,3,31,110,7,5,14,89,61,201,9,98,5,699
"020070403","02","Caba","02007","Comuna 1",14,4,13,0,0,8,65,1,0,9,39,31,120,1,60,2,367
"020070404","02","Caba","02007","Comuna 1",2,4,21,0,2,22,113,1,1,8,42,31,167,3,75,0,492
"020070405","02","Caba","02007","Comuna 1",2,2,15,0,2,13,39,0,1,5,34,20,97,2,40,3,275
"020070406","02","Caba","02007","Comuna 1",7,5,19,1,0,25,84,0,2,10,46,37,150,7,68,2,463
"020070407","02","Caba","02007","Comuna 1",0,4,20,0,4,12,85,1,2,3,49,31,173,4,64,3,455
"020070408","02","Caba","02007","Comuna 1",0,5,25,0,1,15,89,0,1,11,45,27,136,6,95,3,459
"020070501","02","Caba","02007","Comuna 1",0,20,45,1,1,30,91,0,0,10,53,22,146,9,64,11,503
"020070502","02","Caba","02007","Comuna 1",1,2,10,0,4,10,55,0,0,8,40,31,130,2,53,2,348
"020070503","02","Caba","02007","Comuna 1",4,6,30,0,2,18,81,3,14,13,81,55,249,10,100,2,668
"020070504","02","Caba","02007","Comuna 1",0,2,28,0,1,33,100,0,2,14,88,59,215,3,111,5,661
"020070505","02","Caba","02007","Comuna 1",2,3,18,0,0,15,50,0,1,6,36,32,117,3,51,2,336
"020070506","02","Caba","02007","Comuna 1",0,7,14,0,2,17,71,0,3,18,69,55,182,8,91,2,539
"020070507","02","Caba","02007","Comuna 1",0,6,18,0,2,14,63,1,0,5,56,25,148,8,66,2,414
"020070601","02","Caba","02007","Comuna 1",4,3,24,0,0,19,87,0,4,16,57,32,224,4,108,3,585
"020070602","02","Caba","02007","Comuna 1",0,3,12,0,2,15,50,0,2,14,50,45,140,4,89,1,427
"020070603","02","Caba","02007","Comuna 1",0,3,15,0,2,20,116,0,0,23,79,63,242,11,135,4,713
"020070604","02","Caba","02007","Comuna 1",1,2,26,0,0,25,81,1,2,22,69,50,191,7,112,7,596
"020070605","02","Caba","02007","Comuna 1",0,1,13,0,0,11,39,1,1,7,24,19,109,6,46,2,279
"020070606","02","Caba","02007","Comuna 1",0,1,13,0,0,16,63,0,2,4,34,30,129,11,76,3,382
"020070607","02","Caba","02007","Comuna 1",0,1,14,0,0,15,37,0,2,4,31,33,119,5,67,3,331
"020070608","02","Caba","02007","Comuna 1",1,3,19,0,0,15,58,0,2,9,38,34,102,7,67,3,358
"020070609","02","Caba","02007","Comuna 1",1,6,45,0,0,20,95,0,5,14,98,61,317,8,129,12,811
"020070610","02","Caba","02007","Comuna 1",1,3,23,0,1,22,59,2,3,14,40,27,145,5,56,0,401
"020070701","02","Caba","02007","Comuna 1",1,6,45,0,0,28,96,1,1,15,68,49,160,5,62,6,543
"020070702","02","Caba","02007","Comuna 1",1,4,3,0,0,2,32,0,0,3,25,18,58,5,36,4,191
"020070703","02","Caba","02007","Comuna 1",3,7,7,0,0,8,26,0,2,5,23,22,49,5,14,4,175
"020070704","02","Caba","02007","Comuna 1",2,1,9,0,1,15,38,0,1,9,36,30,62,2,30,1,237
"020070705","02","Caba","02007","Comuna 1",1,1,12,0,0,12,59,1,2,12,30,28,86,3,31,5,283
"020070706","02","Caba","02007","Comuna 1",0,5,15,1,0,21,59,0,0,11,31,24,46,0,18,3,234
"020070707","02","Caba","02007","Comuna 1",1,9,22,0,2,32,93,4,3,13,65,49,135,9,43,8,488
"020070708","02","Caba","02007","Comuna 1",0,3,19,0,1,16,78,2,2,7,37,46,108,1,45,4,369
"020070709","02","Caba","02007","Comuna 1",0,4,15,0,0,21,50,1,2,6,43,41,81,4,40,8,316
