circuito_geo_id,partido_madre,partido_electoral,metros_lineales,pct_metros,metros_por_km2,area_km2,pct_votos_promedio,pct_votos_jefe_gobierno,pct_votos_legislativa,pct_votos_presidencial,tasa_nbi_circuito,indice_edu_circuito
1,UCR,Centroderecha,757.4244221075179,100.0,1066.6,0.7101,36.88,43.24,38.83,31.76,4.26,6.23
10,UCR,Centroderecha,127.0503795628605,100.0,229.6,0.5533,48.78,58.22,49.49,43.34,6.33,6.37
101,PS,PS,1686.2624550860332,59.37,755.2,2.2328,8.81,,1.52,16.1,2.26,5.58
101,UCR,Centroderecha,1154.1486511375133,40.63,516.9,2.2328,42.5,50.16,45.58,35.6,2.26,5.58
102,PS,PS,1454.6119323355028,82.03,1033.2,1.4079,9.7,,1.5,17.91,2.17,5.87
102,UCR,Centroderecha,318.7110759388142,17.97,226.4,1.4079,44.86,54.17,47.08,37.98,2.17,5.87
103,UCR,Centroderecha,1163.078951834482,100.0,871.0,1.3354,43.38,51.62,45.93,36.71,1.43,5.73
104,UCR,Centroderecha,527.4572565309314,100.0,502.4,1.0499,41.18,49.17,44.2,34.17,1.68,5.59
105,Liberalismo,Liberalismo,569.1554144335023,30.57,360.9,1.5771,20.54,12.93,33.47,11.41,2.77,5.75
105,UCR,Centroderecha,1292.5443636386453,69.43,819.6,1.5771,43.2,51.5,45.86,36.39,2.77,5.75
106,PS,PS,1648.128527355449,72.16,1484.3,1.1104,9.52,,1.9,17.14,1.68,5.79
106,UCR,Centroderecha,635.9332369273327,27.84,572.7,1.1104,41.82,49.92,44.63,34.97,1.68,5.79
108,PS,PS,730.6015618114716,100.0,735.3,0.9936,9.32,,1.96,16.68,1.71,5.68
109,PS,PS,281.9390568440628,100.0,200.2,1.4085,9.83,,2.15,17.51,3.15,5.84
11,PJ,PJ,1037.4566261963234,100.0,1879.8,0.5519,35.61,39.03,22.3,47.21,9.49,6.23
110,PS,PS,1254.3836402105244,100.0,1526.0,0.822,9.8,,1.96,17.64,3.07,5.83
111,Liberalismo,Liberalismo,879.7629209879564,100.0,918.3,0.958,21.14,16.99,32.36,12.0,6.15,5.49
112,Liberalismo,Liberalismo,123.74828271840698,100.0,228.1,0.5424,20.65,16.02,31.8,11.82,9.23,5.76
113,Liberalismo,Liberalismo,1535.3228184502927,53.54,1433.4,1.0711,21.36,14.93,33.92,12.01,1.91,5.77
113,PS,PS,525.9751656280893,18.34,491.1,1.0711,9.62,,1.87,17.36,1.91,5.77
113,UCR,Centroderecha,806.346572636613,28.12,752.8,1.0711,41.09,48.8,43.52,34.8,1.91,5.77
114,PS,PS,721.2991812464586,51.01,665.5,1.0839,10.16,,2.06,18.26,2.92,5.99
114,UCR,Centroderecha,692.7732180430106,48.99,639.1,1.0839,41.87,49.86,43.96,35.77,2.92,5.99
115,PS,PS,677.869206261263,100.0,740.1,0.9159,9.49,,2.05,16.93,3.16,5.81
116,PS,PS,1136.5789518469758,100.0,910.8,1.2479,9.85,,2.04,17.66,5.28,5.92
118,Liberalismo,Liberalismo,400.8343158923102,34.51,471.3,0.8504,20.56,13.42,34.56,10.14,1.82,6.51
118,UCR,Centroderecha,760.6768391087571,65.49,894.5,0.8504,46.94,55.84,48.67,40.76,1.82,6.51
119,Liberalismo,Liberalismo,647.496121945557,100.0,526.2,1.2306,20.34,11.52,34.54,10.56,2.01,6.24
12,UCR,Centroderecha,1034.5213822445367,100.0,1955.2,0.5291,41.16,47.97,43.67,35.25,14.93,6.14
120,Liberalismo,Liberalismo,532.7449440150317,20.43,328.9,1.6199,22.39,13.45,37.2,12.04,2.16,6.37
120,UCR,Centroderecha,2074.5633081744277,79.57,1280.7,1.6199,47.59,57.9,48.98,41.06,2.16,6.37
121,UCR,Centroderecha,1922.8707570748725,100.0,1186.5,1.6206,45.96,55.2,47.98,39.3,3.24,5.85
122,Liberalismo,Liberalismo,851.9294510280381,75.77,537.6,1.5846,24.01,13.16,42.06,11.39,0.75,6.8
122,UCR,Centroderecha,272.4659929449124,24.23,171.9,1.5846,54.04,65.84,53.8,48.38,0.75,6.8
