anio,tipo_eleccion,seccion_id,seccion_nombre,circuito_id,partido_electoral,votos_positivos,total_electores,total_votos_positivos,pct_votos
2011,presidencial,1,Comuna 01,1,Centroderecha,787,11022,7706,10.21
2011,presidencial,1,Comuna 01,1,Izquierda,336,11022,7706,4.36
2011,presidencial,1,Comuna 01,1,PJ,4722,33066,7706,61.28
2011,presidencial,1,Comuna 01,1,PS,1861,11022,7706,24.15
2011,presidencial,1,Comuna 01,10,Centroderecha,1016,13442,8653,11.74
2011,presidencial,1,Comuna 01,10,Izquierda,277,13442,8653,3.2
2011,presidencial,1,Comuna 01,10,PJ,5015,40326,8653,57.96
2011,presidencial,1,Comuna 01,10,PS,2345,13442,8653,27.1
2011,presidencial,1,Comuna 01,11,Centroderecha,993,14486,9199,10.79
2011,presidencial,1,Comuna 01,11,Izquierda,318,14486,9199,3.46
2011,presidencial,1,Comuna 01,11,PJ,5756,43458,9199,62.57
2011,presidencial,1,Comuna 01,11,PS,2132,14486,9199,23.18
2011,presidencial,1,Comuna 01,12,Centroderecha,914,13345,8861,10.31
2011,presidencial,1,Comuna 01,12,Izquierda,295,13345,8861,3.33
2011,presidencial,1,Comuna 01,12,PJ,5628,40035,8861,63.51
2011,presidencial,1,Comuna 01,12,PS,2024,13345,8861,22.84
2011,presidencial,1,Comuna 01,13,Centroderecha,927,13272,9132,10.15
2011,presidencial,1,Comuna 01,13,Izquierda,358,13272,9132,3.92
2011,presidencial,1,Comuna 01,13,PJ,5759,39816,9132,63.06
2011,presidencial,1,Comuna 01,13,PS,2088,13272,9132,22.86
2011,presidencial,1,Comuna 01,14,Centroderecha,331,5645,3608,9.17
2011,presidencial,1,Comuna 01,14,Izquierda,110,5645,3608,3.05
2011,presidencial,1,Comuna 01,14,PJ,2373,16935,3608,65.77
2011,presidencial,1,Comuna 01,14,PS,794,5645,3608,22.01
2011,presidencial,1,Comuna 01,15,Centroderecha,529,9703,6432,8.22
2011,presidencial,1,Comuna 01,15,Izquierda,241,9703,6432,3.75
2011,presidencial,1,Comuna 01,15,PJ,4386,29109,6432,68.19
