circuito_geo_id,pct_metros,lisa_I,lisa_p,lisa_cluster
71,76.8,-0.2531789357892399,0.256,ns
74,37.55,0.0380803066982921,0.434,ns
75,26.87,-0.22728191439590234,0.288,ns
76,58.71,0.030081569213210403,0.304,ns
77,100.0,-0.38051640431837214,0.33,ns
78,48.18,-0.03924517323190774,0.356,ns
105,30.57,-0.07050037885625766,0.462,ns
113,53.54,-0.018072666153176466,0.127,ns
118,34.51,-0.18385960985590102,0.334,ns
119,100.0,-0.4428139040231492,0.218,ns
120,20.43,-0.16426146482279402,0.397,ns
122,75.77,0.16578685145335542,0.266,ns
123,100.0,0.8166756863516923,0.281,ns
135,73.68,-0.2671770575577428,0.451,ns
141,37.99,0.214610786302247,0.266,ns
149,4.5,1.44856652305009,0.068,ns
150,2.33,2.2007344159379434,0.001,Low-Low
90,8.53,-0.0,0.001,Low-Low
112,100.0,1.7469150564298004,0.198,ns
111,100.0,0.8550677362930094,0.149,ns
