circuito_geo_id,pct_metros,lisa_I,lisa_p,lisa_cluster
3,39.88,0.34291511539412506,0.281,ns
4,28.16,0.34291511539412506,0.383,ns
29,100.0,-0.647913011349284,0.329,ns
51,100.0,0.8827137195573254,0.325,ns
52,72.0,0.8827137195573254,0.216,ns
63,10.11,0.7845387905016404,0.305,ns
64,35.41,0.46423782206987146,0.139,ns
65,45.4,-0.024825963498408855,0.441,ns
70,52.52,0.00480576082295834,0.347,ns
71,6.4,0.23742967376811402,0.389,ns
72,53.08,-0.0015514919287711855,0.353,ns
73,44.15,0.10771979916124942,0.22,ns
101,44.26,-0.2183433568444966,0.13,ns
102,82.03,0.14190210044524051,0.409,ns
106,72.16,0.10516820378356552,0.346,ns
108,100.0,0.3349187628900022,0.316,ns
109,9.08,-1.468054754744441,0.084,ns
110,100.0,0.27613639268375617,0.387,ns
113,18.34,-0.7860095369009903,0.173,ns
114,51.01,-0.013722659700697797,0.411,ns
115,100.0,-0.015805539774879026,0.493,ns
116,54.98,0.029326854851633038,0.117,ns
154,20.13,0.9374508153630192,0.091,ns
155,22.75,0.12078994581252098,0.397,ns
156,28.16,0.23321489685833682,0.267,ns
157,33.85,-0.08927167385173104,0.404,ns
159,100.0,-1.1445688818720308,0.094,ns
160,36.45,-0.6803798805556711,0.04,Low-High
161,86.24,-0.13574999509361182,0.409,ns
