tipo,partido_electoral,partidos_calles,n,rho,p_value,significativo_005,magnitud,direccion,nota
promedio,Centroderecha,UCR,85,0.104,0.3435,False,débil,positiva,
promedio,Liberalismo,Liberalismo,20,-0.3439,0.1376,False,moderada,negativa,
promedio,PJ,PJ,22,-0.4871,0.0215,True,moderada,negativa,
promedio,PS,PS,27,-0.1958,0.3277,False,débil,negativa,
jefe_gobierno,Centroderecha,UCR,85,0.0898,0.4139,False,débil,positiva,
jefe_gobierno,Liberalismo,Liberalismo,20,-0.0606,0.7996,False,débil,negativa,
jefe_gobierno,PJ,PJ,22,-0.5643,0.0062,True,fuerte,negativa,
jefe_gobierno,PS,,0,,,False,,,N insuficiente
legislativa,Centroderecha,UCR,85,0.1146,0.2962,False,débil,positiva,
legislativa,Liberalismo,Liberalismo,20,-0.3227,0.1652,False,moderada,negativa,
legislativa,PJ,PJ,22,-0.486,0.0218,True,moderada,negativa,
legislativa,PS,PS,27,0.1373,0.4946,False,débil,positiva,
presidencial,Centroderecha,UCR,85,0.1044,0.3415,False,débil,positiva,
presidencial,Liberalismo,Liberalismo,20,0.1,0.6749,False,débil,positiva,
presidencial,PJ,PJ,22,-0.4686,0.0278,True,moderada,negativa,
presidencial,PS,PS,27,-0.2686,0.1754,False,débil,negativa,
