tipo,partido_electoral,n,r_parcial,p_value,significativo_005,controles
promedio,Centroderecha,85,0.2451,0.0256,True,"tasa_nbi_circuito, indice_edu_circuito"
promedio,Liberalismo,20,-0.2943,0.2358,False,"tasa_nbi_circuito, indice_edu_circuito"
promedio,PJ,22,-0.3494,0.1311,False,"tasa_nbi_circuito, indice_edu_circuito"
promedio,PS,27,-0.0755,0.7197,False,"tasa_nbi_circuito, indice_edu_circuito"
jefe_gobierno,Centroderecha,85,0.2242,0.0416,True,"tasa_nbi_circuito, indice_edu_circuito"
jefe_gobierno,Liberalismo,20,-0.2929,0.2382,False,"tasa_nbi_circuito, indice_edu_circuito"
jefe_gobierno,PJ,22,-0.4554,0.0436,True,"tasa_nbi_circuito, indice_edu_circuito"
legislativa,Centroderecha,85,0.2535,0.0208,True,"tasa_nbi_circuito, indice_edu_circuito"
legislativa,Liberalismo,20,-0.2412,0.335,False,"tasa_nbi_circuito, indice_edu_circuito"
legislativa,PJ,22,-0.3331,0.1512,False,"tasa_nbi_circuito, indice_edu_circuito"
legislativa,PS,27,0.0587,0.7806,False,"tasa_nbi_circuito, indice_edu_circuito"
presidencial,Centroderecha,85,0.2466,0.0246,True,"tasa_nbi_circuito, indice_edu_circuito"
presidencial,Liberalismo,20,-0.2314,0.3554,False,"tasa_nbi_circuito, indice_edu_circuito"
presidencial,PJ,22,-0.3247,0.1625,False,"tasa_nbi_circuito, indice_edu_circuito"
presidencial,PS,27,-0.1218,0.5619,False,"tasa_nbi_circuito, indice_edu_circuito"
